year,country_name,gdp_growth,gdp_usd,military_spendings_growth,military_spendings_usd,energy_use,gni_growth,gni_usd,national_income_growth,national_income_usd
1975,Brazil,5.17,129203555238.83,1.97,2141126693.28,849.57,4.58,122016649141.28,2.52,1.11394E+11
1975,India,9.15,98472796457.11,3.53,3323646800.52,275.91,9.23,98178114597.96,4.64,89230164963
1975,Mexico,5.74,88000000000.00,0.57,504800000.00,992.23,5.29,86091952000.00,3.42,77908299194
1975,South Africa,1.70,38114542813.10,3.87,1431695127.03,2142.13,1.28,36575681331.47,-5.68,30710641887
1975,China,8.72,163431551779.76,,,527.49,,163431551779.76,,1.41489E+11
1975,World,0.60,5970098794053.77,3.80,,1366.36,,5987980376060.42,0.50,4.95513E+12
1976,Germany,4.95,519754453161.41,3.14,14549820054.76,4314.58,5.04,522284947957.12,4.78,4.43544E+11
1976,France,4.36,372319038514.07,3.16,11175248198.02,3247.75,4.39,373385686970.77,3.86,3.20347E+11
1976,Italy,7.13,224717278436.85,1.83,3844185965.36,2264.06,7.04,225069397534.31,5.99,1.95196E+11
1976,Japan,3.97,586161858999.67,0.89,5008396503.82,2876.70,3.98,586222292005.63,4.88,4.87058E+11
1976,Canada,,206575564908.72,1.77,3581805735.15,7293.70,,203585192697.77,5.59,1.71188E+11
1976,Russian Federation,,,,,,,,,
1976,United States,5.39,1873412000000.00,5.19,94715251079.71,8100.56,5.52,1869603000000.00,4.97,1.57368E+12
1976,United Kingdom,2.91,232614555256.07,5.18,12038757739.32,3616.98,2.97,256621831087.15,1.43,2.19819E+11
1976,Brazil,10.26,153168949208.21,2.00,2576476981.67,870.86,10.04,150357935666.65,14.17,1.37101E+11
1976,India,1.66,102717164465.89,3.48,3294910612.35,280.45,1.69,102456488498.43,7.68,93243974422
1976,Mexico,4.42,89025974025.97,0.60,531576968.46,1033.44,4.00,86770084415.58,3.54,78147673533
